sample_id	Intrahepatic.cholangiocyte	NK.Cell	Monocyte	Macrophage	Secretory.cell	Respiratory.ciliated.cell	Ionocyte.luminal.epithelial.cell.of.mammary.gland	Fibroblast.mesenchymal.stem.cell	Respiratory.secretory.cell	Mast.cell	Basal.cell	Endothelial.cell	neutrophil	B.cell	T.Cell	Erythrocyte.erythroid.progenitor	Platelet	Basophil	Stromal.cell	Mature.conventional.dendritic.cell	Adventitial.cell	Gland.cell	Salivary.bronchial.secretory.cell	Pericyte.cell	Myeloid.progenitor	Pancreatic.Stellate.cell	Pancreatic.alpha.beta.cell	Basal.prostate.cell	Prostate.epithelia	Salivary.gland.cell	Intestinal.enterocyte	Intestinal.secretory.cell	Intestinal.tuft.cell	Type.II.Pneumocyte	Cell.of.skeletal.muscle	Schwann.cell	Tendon.cell	Mesothelial.cell	Plasmablast	Kidney.epithelial.cell	Thymocyte
GHL72_combined	3.76358190914435e-05	0.203622273126777	0.127099428850486	5.98678296025069e-05	5.26251003893986e-05	0.000594425136098673	6.3357763486485e-05	5.00522863544192e-05	1.28052935785359e-05	0.000188414700736992	2.44036800122991e-05	0.154592439831039	0.000133601276027842	0.13288397551445	0.000406549674994268	0.0449451152403524	0.135890994635161	0.000128434300962413	3.95806380221766e-05	0.0125448923344294	5.46781132509531e-05	1.4948004438328e-05	1.66525159355498e-05	7.91737273740985e-05	0.167337657379303	4.64293614343508e-05	0.000157646654581718	2.40443162734627e-05	3.17401783989444e-05	3.08957193935932e-05	3.64714570852099e-05	2.73192583056337e-05	0.0102451152523065	3.73427292340129e-05	0.000558233979938002	0.00696338564427601	5.70974622233352e-05	0.000313342871664107	9.9490172517805e-05	5.52804257796942e-05	0.000442181744232591
GHL75_combined	4.981653233606e-05	0.181376823699115	0.0570580798976611	0.000214725647049738	0.000175099609934016	6.34915768886041e-05	9.73411842051271e-05	7.44273442809668e-05	2.09157306148234e-05	0.000174948466055695	4.91431171098738e-05	0.204670626360459	0.000124878654385799	0.254048102186038	0.000210675321926454	0.0499009936648433	0.0498065814035518	0.00014232910122262	4.8106676549655e-05	0.00940165307446021	7.90221378911479e-05	2.73190587417204e-05	2.92653088504721e-05	0.000141141687864936	0.163082770860452	7.40609970431102e-05	4.22893428449697e-05	3.67193482861619e-05	4.61186746517318e-05	5.68265514251437e-05	5.61526193217928e-05	3.98129443939414e-05	0.00332200370576276	4.90346754279852e-05	0.000127499889550921	0.0103724194638596	4.55419818097056e-05	6.11157523255956e-05	0.000137233911820305	0.000463745636916112	0.0140011462020717
GHL76_combined	0.00233754819274523	0.113248176719439	0.10053897800039	0.000110013347696751	6.42134639101308e-05	0.00174171016830493	6.26820689858672e-05	0.000130726426448495	2.43098842420654e-05	9.35484425460303e-05	6.27326096989293e-05	0.14595813794375	0.0278482840120878	0.155855882097676	0.000204245572339472	0.0434812207785939	0.26113572245515	0.000120324401252752	6.05414562499834e-05	0.000470036087540148	0.000467662995675455	4.03932308991301e-05	4.08032492755719e-05	0.000174405650601663	0.104690864384679	6.01807345259661e-05	0.000551439495145841	5.3896862545108e-05	7.56868433839996e-05	0.000130837242142684	5.62832095410026e-05	5.57714848701809e-05	0.0196385339136808	9.21664174819084e-05	0.00293058861419678	0.0149648628851638	8.26396805754276e-05	0.000410871060962999	0.000135113570482576	0.00124685713009965	0.000551107215023342
GHL7_combined	0.000823555257262639	0.0889733829757332	0.151843014583294	0.000262555835629426	6.82023486477067e-05	9.24768242524857e-05	0.000191121506357329	0.000132546960037533	3.94151444525088e-05	0.000179767852647263	0.000121624870737105	0.208471916081848	0.000218385595146857	0.243450890600835	0.000213674739530006	0.0436243499859779	0.0884799370586399	0.000213874745547771	0.000101716843468577	0.00305355140664199	0.000114756242893348	4.78896847232379e-05	4.9470290958373e-05	0.000217855788006146	0.145461934776932	0.00010377107034849	0.000118419804959613	9.34169627794302e-05	8.02699586082236e-05	0.000129934044095546	7.36077067994206e-05	5.98325260145779e-05	0.00847151255632024	8.9938661712163e-05	0.000174384546022192	0.00277283027406206	9.88837568733384e-05	8.45948968155377e-05	0.000189907949588598	0.000149863420796743	0.0108609638640037
GHL84_combined	0.00525552236984463	0.0666414615350623	0.119906907114506	0.00731542690525935	6.52808424522035e-05	0.0256769542272728	9.76606349906995e-05	0.000237943997532872	3.32000479379482e-05	0.000140154430587721	0.000217460386147494	0.152273536661074	0.031323479118732	0.0803018642586138	0.000136670865145532	0.000241131477103099	0.212131106907088	0.000163665895494793	7.40149030234854e-05	0.0252610312689162	0.000286131659297128	3.69209903104054e-05	3.51509274285097e-05	0.000654366774811792	0.152587414214967	8.92400034772164e-05	0.00616468114413055	6.46439637389254e-05	0.000698676069182178	0.000478885689802549	0.00114152725927111	0.000235255981449178	0.0544194133472247	0.00664686708752065	0.00347763473323011	0.0260166826659479	0.000276831504083298	0.00199426999935682	0.000202498352051944	0.0162909531774117	0.000707480608520584
GHL88_combined	7.08336875715166e-05	0.0765854445491185	0.198713101276359	0.000127427979273003	6.53061579997546e-05	0.00076269869131034	7.54413649453979e-05	8.3127672140149e-05	2.66671272859641e-05	0.00027584215673451	9.29888710228063e-05	0.187276590600354	0.0201573663123697	0.156062957303338	0.000319588894892843	0.0132735812843575	0.114278993230251	0.000131288676967323	7.08310307010042e-05	0.00869675379876429	8.60859880214515e-05	4.16882928578634e-05	3.82176520558078e-05	0.000103567251815409	0.200631746598932	8.12425260454346e-05	7.31631200202631e-05	0.000100925991185812	8.48974080086158e-05	6.22132056758648e-05	8.38804057295295e-05	5.68088207966819e-05	0.00835719249139811	7.12029025479863e-05	0.00140148765377228	0.00363091430289133	6.75822312049831e-05	0.000103841679609969	0.000181528066227068	0.00045673606471252	0.00713824668073411
GHL89_combined	0.00326858693954261	0.0481643118549363	0.0613508341366904	0.000116784368075245	6.26708029482001e-05	0.0039187609874004	0.000109756475160955	8.17477609532991e-05	3.18545765788768e-05	9.40427454119266e-05	0.000178614094925064	0.153201968518081	0.000334835045835381	0.194524956262922	0.000355685162479254	0.0130476773946908	0.27416873027138	0.000126209288748383	6.4601081145459e-05	0.00781348249009216	0.0110233876006813	3.68466163082143e-05	3.47275028727058e-05	0.000131256561085328	0.154563692040246	8.98522904338945e-05	0.000179254370575838	4.67587489331142e-05	6.97735534925439e-05	6.94314986936685e-05	0.000321305323941856	4.27981206834501e-05	0.0293674361059708	0.0121505282892852	0.00484641497337722	0.017128099030721	0.000227701638024787	8.70657485375313e-05	0.000156260699042418	0.00150809532318275	0.00690320370591306
GHL93_combined	2.55561591310902e-05	0.068490523681352	0.21706947398009	0.000116474022741459	1.51992324740385e-05	0.000157941054224637	3.15351392159955e-05	2.45050785665894e-05	7.56209987286737e-06	6.19149745834263e-05	4.20454970626232e-05	0.141830382957012	0.0220531376863087	0.191870478122857	0.0182293740796312	0.00953346045453836	0.0942201518266354	3.89647319583688e-05	2.40849751662729e-05	0.0267522874064111	2.14334521290665e-05	1.00838815285151e-05	8.67722165932844e-06	3.07273529543254e-05	0.195458451244017	2.55300649456618e-05	6.99060139585692e-05	1.42977530628465e-05	1.69610480619911e-05	2.03428881254951e-05	1.97001028345231e-05	1.38222033947626e-05	0.0109564270421031	4.20483187329235e-05	0.000388860781330886	0.00119783447774635	1.54787196015983e-05	3.88941372805971e-05	0.000117969679161029	0.000212282070080548	0.000725218387457549
GHL94_combined	0.00566461448412099	0.0837603889509663	0.0731743033802362	0.00024982990848593	4.38009733890253e-05	0.00819094954793895	0.000329268492918358	8.08262718935072e-05	3.14069086027564e-05	0.000144904033198109	0.000324414827775324	0.242000885899409	0.0125470612095765	0.240088938488026	0.0111771108906598	0.0197997569997193	0.0319398053713776	0.000218690896899119	6.60071149708312e-05	0.0215525873232471	0.000213934953481908	3.56006378209996e-05	2.89149247569395e-05	0.000285613052495381	0.158443434681149	6.88016430818687e-05	0.00241719715691199	8.60273585215078e-05	0.000299500578603655	0.000122709891777273	0.000208643777661036	4.17177131071095e-05	0.0386788205873481	7.20307092506469e-05	0.00019296841935241	0.0133481940574734	0.000294045371465073	0.000293662708084977	0.000126417341233843	0.00441605274930781	0.0289401597137044
GHL99_combined	0.00461812249156287	0.0831578463881237	0.121476102298105	0.000177681661723272	3.42650945817948e-05	0.000319173025981413	0.000146763053002247	7.60228008290599e-05	1.52320211418066e-05	0.000290028038282279	3.13452714096033e-05	0.159441325146554	0.000189763793406053	0.161361959540479	0.0584482130232526	0.0500081995729312	0.0919372336539756	0.000151822510606024	5.01386491778958e-05	0.0217860063304349	5.6438540038101e-05	1.94453872075187e-05	2.33993912648713e-05	0.000140061853661679	0.207655432928	4.91261264331371e-05	0.000143377833288078	4.84184692159792e-05	5.35440581969731e-05	8.07776074993557e-05	6.54701590682114e-05	3.83664243106464e-05	0.0111549091320752	5.19731494858467e-05	0.000307069005789904	0.0143673076475932	4.84079075325094e-05	5.1158398905291e-05	0.000113496285011485	0.000367032255910032	0.0114475430739514
GHL9_combined	0.00165536772493172	0.0467296952873723	0.143381370398786	0.000368484081012819	4.77147523785327e-05	0.00166558931007782	9.69374642938323e-05	6.13052122597159e-05	3.11595747866672e-05	0.000301196731312809	0.000120860599746747	0.159226111711793	0.0893717402551984	0.244979144994131	0.00516272392750396	0.0147573589464919	0.0621014667715665	0.000181110175610458	7.03373020839353e-05	0.0351517776816694	6.6669014477316e-05	4.07657194264793e-05	3.74550354968672e-05	0.000104679917492929	0.151559938909073	5.49853129920312e-05	6.38837995328891e-05	5.72892350408938e-05	0.000123796418033594	4.69288289164181e-05	7.36145001904646e-05	5.32174140033908e-05	0.0110355140482223	7.9737714380988e-05	0.000357861028727244	0.0118004247702894	7.53866307678541e-05	8.1378533012727e-05	0.000120208929190655	0.00152910108846057	0.0171757102492638
